Month,CPI
Jul.2005,618.3
Aug.2005,620
Sep.2005,623.4
Oct.2005,623
Nov.2005,621.1
Dec.2005,621.8
Jan.2006,619.8
Feb.2006,624.8
Mar.2006,626.7
Apr.2006,630
May.2006,630.8
Jun.2006,631.4
Jul.2006,629.7
Aug.2006,632.1
Sep.2006,633
Oct.2006,634.7
Nov.2006,635
Dec.2006,635.7
Jan.2007,634.4
Feb.2007,638.3
Mar.2007,643.2
Apr.2007,646.3
May.2007,645.6
Jun.2007,646.5
Jul.2007,645.8
Aug.2007,646.8
Sep.2007,649.7
Oct.2007,651.7
Nov.2007,653.2
Dec.2007,652.1
Jan.2008,658.8
Feb.2008,662.1
Mar.2008,668
Apr.2008,669
May.2008,672.5
Jun.2008,675
Jul.2008,674
Aug.2008,676.9
Sep.2008,680.3
Oct.2008,680.2
Nov.2008,676.8
Dec.2008,674.7
Jan.2009,673.1
Feb.2009,673.6
Mar.2009,674.1
Apr.2009,674
May.2009,672.8
Jun.2009,674.4
Jul.2009,670
Aug.2009,672.2
Sep.2009,673.3
Oct.2009,669.7
Nov.2009,670.4
Dec.2009,671
Jan.2010,671.9
Feb.2010,674.5
Mar.2010,678
Apr.2010,679.8
May.2010,679.2
Jun.2010,680.7
Jul.2010,677.1
Aug.2010,680
Sep.2010,682.8
Oct.2010,685.5
Nov.2010,687.2
Dec.2010,690.5
Jan.2011,693
Feb.2011,697.3
Mar.2011,701.1
Apr.2011,702.5
May.2011,702.8
Jun.2011,704.9
Jul.2011,702.9
Aug.2011,705.6
Sep.2011,708.5
Oct.2011,710.3
Nov.2011,710.8
Dec.2011,710.6
Jan.2012,715.1
Feb.2012,719
Mar.2012,721.8
Apr.2012,724.3
May.2012,724.3
Jun.2012,724.8
Jul.2012,723.5
Aug.2012,724.8
Sep.2012,727.7
Oct.2012,728.7
Nov.2012,726.4
Dec.2012,727.3
Jan.2013,726.8
Feb.2013,731
Mar.2013,734.3
Apr.2013,735.4
May.2013,735.6
Jun.2013,735.1
Jul.2013,735
Aug.2013,733.8
Sep.2013,736.4
Oct.2013,737.4
Nov.2013,736.3
Dec.2013,739
Jan.2014,738.5
Feb.2014,740.4
Mar.2014,742.1
Apr.2014,743.2
May.2014,741.4
Jun.2014,741.9
Jul.2014,741.1
Aug.2014,742.2
Sep.2014,746.2
Oct.2014,744.9
Nov.2014,743.5
Dec.2014,742.5
Jan.2015,737.4
Feb.2015,739.3
Mar.2015,741.7
Apr.2015,741.7
May.2015,741.1
Jun.2015,741.1
Jul.2015,739.4
Aug.2015,740.8
Sep.2015,741.8
Oct.2015,743
